title,(no genres listed),Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,IMAX,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,movie_id
How to Make an American Quilt (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,46
Seven (a.k.a. Se7en) (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,47
Pocahontas (1995),0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,48
When Night Is Falling (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,49
"Usual Suspects, The (1995)",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,50
Guardian Angel (1994),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,51
Mighty Aphrodite (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,52
Lamerica (1994),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,53
"Big Green, The (1995)",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54
Georgia (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,55
Kids of the Round Table (1995),0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,56
Home for the Holidays (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,57
"Postman, The (Postino, Il) (1994)",0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,58
"Confessional, The (Confessionnal, Le) (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,59
"Indian in the Cupboard, The (1995)",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60
Eye for an Eye (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,61
Mr. Holland's Opus (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,62
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,63
Two if by Sea (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,64
Bio-Dome (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Lawnmower Man 2: Beyond Cyberspace (1996),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,66
Two Bits (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,67
French Twist (Gazon maudit) (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,68
Friday (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
From Dusk Till Dawn (1996),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,70
Fair Game (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
Kicking and Screaming (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,72
"Misérables, Les (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,73
Bed of Roses (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,74
Big Bully (1996),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75
Screamers (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,76
Nico Icon (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,77
"Crossing Guard, The (1995)",0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,78
"Juror, The (1996)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,79
"White Balloon, The (Badkonake sefid) (1995)",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80
Things to Do in Denver When You're Dead (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,81
Antonia's Line (Antonia) (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,82
Once Upon a Time... When We Were Colored (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,83
Last Summer in the Hamptons (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,84
Angels and Insects (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,85
White Squall (1996),0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,86
Dunston Checks In (1996),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
Black Sheep (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88
Nick of Time (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,89
"Journey of August King, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,90
Mary Reilly (1996),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,91
Vampire in Brooklyn (1995),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,92
Beautiful Girls (1996),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,93
Broken Arrow (1996),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,94
In the Bleak Midwinter (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,95
"Hate (Haine, La) (1995)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,96
Shopping (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,97
Heidi Fleiss: Hollywood Madam (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98
City Hall (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,99
Bottle Rocket (1996),0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,100
Mr. Wrong (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101
Unforgettable (1996),0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,102
Happy Gilmore (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103
"Bridges of Madison County, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,104
Nobody Loves Me (Keiner liebt mich) (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,105
Muppet Treasure Island (1996),0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,106
Catwalk (1996),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,107
Headless Body in Topless Bar (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,108
Braveheart (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,109
Taxi Driver (1976),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,110
Rumble in the Bronx (Hont faan kui) (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111
Before and After (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,112
Margaret's Museum (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,113
"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114
Anne Frank Remembered (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,115
"Young Poisoner's Handbook, The (1995)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,116
If Lucy Fell (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,117
"Steal Big, Steal Little (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
Race the Sun (1996),0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,119
"Boys of St. Vincent, The (1992)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,120
Boomerang (1992),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,121
Chungking Express (Chung Hing sam lam) (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,122
"Star Maker, The (Uomo delle stelle, L') (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,123
Flirting With Disaster (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124
"NeverEnding Story III, The (1994)",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,125
"Silences of the Palace, The (Saimt el Qusur) (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,126
Jupiter's Wife (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,127
Pie in the Sky (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,128
Angela (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,129
Frankie Starlight (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,130
Jade (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,131
Nueba Yol (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,132
Sonic Outlaws (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,133
Down Periscope (1996),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
From the Journals of Jean Seberg (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,135
Man of the Year (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,136
"Neon Bible, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,137
Target (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,138
Up Close and Personal (1996),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,139
"Birdcage, The (1996)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140
Shadows (Cienie) (1988),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,141
Gospa (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,142
"Brothers McMullen, The (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143
Bad Boys (1995),0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,144
"Amazing Panda Adventure, The (1995)",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145
"Basketball Diaries, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,146
"Awfully Big Adventure, An (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147
Amateur (1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,148
Apollo 13 (1995),0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,149
Rob Roy (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,150
"Addiction, The (1995)",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,151
Batman Forever (1995),0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,152
Beauty of the Day (Belle de jour) (1967),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,153
Beyond Rangoon (1995),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,154
Blue in the Face (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,155
Canadian Bacon (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,156
Casper (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
Clockers (1995),0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,158
Congo (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,159
Crimson Tide (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,160
Crumb (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,161
Desperado (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,162
Devil in a Blue Dress (1995),0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,163
Die Hard: With a Vengeance (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,164
"Doom Generation, The (1995)",0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,165
Feast of July (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,166
First Knight (1995),0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,167
Free Willy 2: The Adventure Home (1995),0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,168
Hackers (1995),0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,169
Jeffrey (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,170
Johnny Mnemonic (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,171
Judge Dredd (1995),0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,172
Jury Duty (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173
Kids (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,174
Living in Oblivion (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
Lord of Illusions (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,176
Love & Human Remains (1993),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,177
Mad Love (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,178
Mallrats (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,179
Mighty Morphin Power Rangers: The Movie (1995),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180
Moonlight and Valentino (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,181
Mute Witness (1994),0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,182
Nadja (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,183
"Net, The (1995)",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,184
Nine Months (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,185
Party Girl (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186
"Prophecy, The (1995)",0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,187
Reckless (1995),0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,188
Safe (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,189
"Scarlet Letter, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,190
"Show, The (1995)",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,191
Showgirls (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,192
Smoke (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,193
Something to Talk About (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,194
Species (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,195
"Stars Fell on Henrietta, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,196
Strange Days (1995),0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,197
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,198
"Tie That Binds, The (1995)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,199
Three Wishes (1995),0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,200
Total Eclipse (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,201
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202
Under Siege 2: Dark Territory (1995),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203
Unstrung Heroes (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,204
Unzipped (1995),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,205
"Walk in the Clouds, A (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,206
Waterworld (1995),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,207
White Man's Burden (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,208
Wild Bill (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209
"Browning Version, The (1994)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,210
Bushwhacked (1995),0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,211
Burnt by the Sun (Utomlyonnye solntsem) (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,212
Before the Rain (Pred dozhdot) (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,213
Before Sunrise (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,214
Billy Madison (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215
"Babysitter, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,216
Boys on the Side (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,217
"Cure, The (1995)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,218
Castle Freak (1995),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,219
Circle of Friends (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,220
Clerks (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221
Don Juan DeMarco (1995),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,222
Disclosure (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,223
Dream Man (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,224
Drop Zone (1994),0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,225
Destiny Turns on the Radio (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
Death and the Maiden (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,227
Dolores Claiborne (1995),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,228
Dumb & Dumber (Dumb and Dumber) (1994),0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229
Eat Drink Man Woman (Yin shi nan nu) (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,230
Exotica (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,231
Exit to Eden (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
Ed Wood (1994),0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,233
French Kiss (1995),0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,234
Forget Paris (1995),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,235
Far From Home: The Adventures of Yellow Dog (1995),0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
"Goofy Movie, A (1995)",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,237
Hideaway (1995),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,238
Fluke (1995),0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,239
Farinelli: il castrato (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,240
Gordy (1995),0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,241
Gumby: The Movie (1995),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
"Glass Shield, The (1994)",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,243
Hoop Dreams (1994),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,244
Heavenly Creatures (1994),0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,245
Houseguest (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246
Immortal Beloved (1994),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,247
Heavyweights (Heavy Weights) (1995),0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248
"Hunted, The (1995)",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249
I.Q. (1994),0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,250
Interview with the Vampire: The Vampire Chronicles (1994),0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,251
